sentence,Sentiments,Bayes
"In the SBY era, the way to manage the distribution system was different from now. The general way of increasing prices was different in the SBY era. The SBY era generally paid less attention to the public's response. Nowadays, the public's response is to look first and then take a look.",Netral,Netral
price goes up rj,Netral,Netral
"hohohohasto moncer's mouth used to be the opponent's turn to increase the price, so the highest power increases the price of hasto mingkem's mouth",Positif,Positif
Omg get ready for the price to go up,Positif,Positif
"its okay, you believe in being fucked up by the command, believe, believe, be wise, that's the influence on people's life, simple, wise, increase prices, increase the minimum wage in the area, which effects are both positive and negative",Positif,Positif
"It's enough to know the culture of state-owned companies, if the president of the state-owned company has given orders, Bod Boc Senko Dawuh has sold one price, PCR rates, difficult migrant prices",Negatif,Negatif
"for ordinary people, they think that if a demonstration is aimed at rejecting something, for example prices go up, the final demo goes down, but maybe that's different from sponsoring a demonstration, aiming at riots, casualties, the spontaneous demonstration reaction is bigger",Negatif,Positif
The price goes up and then it's wrong,Negatif,Positif
subsidy removes base APBN can't afford to pay impact of rising prices instead APBN can afford work support like gin what's wrong I said banser dick,Negatif,Positif
"demo song lowering the price of electricity tariffs for cooking oil for almost the entire island doesn't work but the prices still go up for mass organizations if they have the power, a presidential coup will never happen",Negatif,Negatif
"Firdaus police personnel, the Firdaus police intelligence unit, detects and monitors post-fuel stock according to price increases, subsidized prices and rare gas stations, gas stations in the jurisdiction of the Firdaus Police",Positif,Positif
"If the car comes in, it threatens to increase the price",Negatif,Positif
Fifty police personnel are like mobile patrols of gas station objects after price increases in Fifty Police's jurisdiction,Positif,Positif
"Oil prices plummeted in April, said Pertamina",Netral,Netral
Pertamax prices increase per day at all registered gas stations,Positif,Positif
Pertamax prices increase per day at all registered gas stations,Positif,Positif
"Satisfied rocket prices Fasting rocket fuel is prohibited, bukber Satisfied, IKN stalled, Satisfied, got laid off, little Satisfaction congregation forced to pay taxes, Satisfied, made a survey of humans or zombies, okay?",Positif,Negatif
"Indeed, prices are going up, data package prices are going up",Netral,Netral
"don't say tax amnesty withdraws funds from foreign oligarchs, subsidy proceeds reduce subsidies for private electric vehicles for high-speed trains, say use the APBN now, are small people hard to bear as prices rise?",Negatif,Negatif
"In the past, when I was rich, there were a lot of important people asking for a price list, so much so that I asked for a long list of things to do.",Positif,Positif
"Ruhut try to mention Ahok's achievements at Pertamina, don't mention burning down the depot, don't mention losses of trillions of fuel price increases, LPG prices, mention Ahok's achievements if there are any heheheee",Positif,Positif
"Not taking part in the survey, village families taking part in the survey, the majority are not satisfied, much to the people's heartache, the price of imported rice has increased",Negatif,Positif
"In the past, Mr. Sby lowered the price, the benefit of running for democrats is that the benefits of power must be accepted, so the opposition won't win easily",Positif,Negatif
"the president of the state-owned company as the controlling shareholder should have broader concerns, he has already sold wisely at one price, PCR rates, migrant prices",Positif,Positif
price monopoly really sarcastic comments about if the comments are really stupid there is no cure,Negatif,Negatif
